Id,status,duration,credit_history,purpose,amount,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,age,housing,number_credits,job,people_liable,foreign_worker,credit_risk
59,4,36,2,0,3079,3,4,3,1,4,36,2,1,3,2,2,1
60,4,12,4,0,1163,3,4,3,1,4,44,2,1,3,2,2,1
61,4,24,2,1,2679,2,4,2,1,1,29,2,1,4,2,2,1
62,4,48,4,3,3578,5,4,3,1,1,47,2,1,3,2,2,1
63,4,36,3,0,10875,5,2,3,1,2,45,2,2,3,1,2,1
64,1,12,3,0,1344,3,4,3,1,2,43,2,2,2,1,2,1
65,4,6,4,3,1237,3,1,2,1,1,27,2,2,3,2,2,1
66,4,12,2,3,3077,3,2,3,1,4,52,2,1,3,2,2,1
67,4,24,2,3,2284,4,4,3,1,2,28,2,1,3,2,2,1
68,2,12,2,3,1567,3,1,2,1,1,22,2,1,3,2,2,1
69,4,24,3,0,2032,5,4,3,1,4,60,3,2,3,2,2,1
70,2,21,4,2,2745,4,3,3,1,2,32,2,2,3,2,2,1
71,4,30,2,3,1867,5,4,3,1,4,58,2,1,3,2,2,1
72,4,36,2,3,2299,5,4,3,1,4,39,2,1,3,2,2,1
73,4,24,2,2,929,4,4,3,1,2,31,2,1,3,2,2,1
74,3,12,2,3,3399,5,2,3,1,3,37,2,1,4,2,2,1
75,2,9,2,2,2030,4,2,3,1,1,24,2,1,3,2,2,1
76,4,21,4,1,3275,5,1,3,1,4,36,2,1,4,2,2,1
77,4,24,4,0,1940,5,4,3,1,4,60,2,1,3,2,2,1
78,1,21,4,0,1602,5,4,4,1,3,30,2,2,3,2,2,0
79,4,15,2,3,1979,5,4,3,1,2,35,2,1,3,2,2,1
80,4,24,4,0,2022,3,4,2,1,4,37,2,1,3,2,2,1
81,4,36,4,3,3342,5,4,3,1,2,51,2,1,3,2,2,1
82,2,18,2,0,5866,3,2,3,1,2,30,2,2,3,2,2,1
83,3,15,4,1,2360,3,2,3,1,2,36,2,1,3,2,2,1
84,4,15,4,2,1520,5,4,3,1,4,63,2,1,3,2,2,1
85,1,12,2,0,3651,3,1,3,1,3,31,2,1,3,1,2,1
86,4,24,4,1,2346,4,4,3,1,3,35,2,2,3,2,2,1
87,4,36,3,3,4454,3,4,2,1,4,34,2,2,3,2,2,1
88,1,6,4,0,666,4,3,2,1,4,39,2,2,2,2,2,1
89,2,24,3,0,1965,3,4,2,1,4,42,1,2,3,2,2,1
90,2,12,4,0,1995,2,4,3,1,1,27,2,1,3,2,2,1
91,2,30,2,3,2991,5,2,2,1,4,25,2,1,3,2,2,1
92,2,30,0,9,4221,3,2,2,1,1,28,2,2,3,2,2,1
93,1,9,2,3,1364,4,3,3,1,4,59,2,1,3,2,2,1
94,2,18,4,2,6361,5,2,3,1,1,41,2,1,3,2,2,0
95,4,27,4,2,4526,2,4,3,1,2,32,2,2,2,1,2,1
96,2,12,4,3,3573,3,1,2,1,1,23,2,1,2,2,2,1
97,2,36,3,9,4455,3,2,1,1,2,30,2,2,4,2,2,1
98,1,9,2,2,2136,3,3,3,1,2,25,2,1,3,2,2,1
99,2,42,4,9,5954,4,2,2,1,1,41,2,2,2,2,2,1
100,4,24,4,2,3777,3,4,3,1,4,40,2,1,3,2,2,1
101,1,15,2,9,806,3,4,2,1,4,22,2,1,2,2,2,1
102,2,24,3,9,4712,3,4,3,1,2,34,2,2,4,2,2,1
103,2,36,3,0,7432,3,2,2,1,2,54,1,1,3,2,2,1
104,4,24,4,3,1851,4,4,4,3,2,33,2,2,3,2,2,1
105,4,24,2,0,1393,3,2,3,3,2,31,2,1,3,2,2,1
106,4,12,4,9,1412,3,4,2,3,2,29,2,2,4,2,2,1
107,4,18,2,3,1473,2,3,4,1,4,39,2,1,3,2,2,1
108,4,24,2,3,1533,2,4,2,1,3,38,2,1,3,2,2,1
109,4,12,4,6,2012,4,4,2,1,2,61,2,1,3,2,2,1
110,1,15,2,0,3959,3,3,2,1,2,29,2,1,3,2,2,0
111,1,6,2,2,428,5,2,2,1,1,49,2,1,3,2,2,1
112,2,12,4,0,2366,4,3,1,1,3,36,2,1,4,2,2,1
113,4,12,2,2,763,3,4,2,1,1,26,2,1,3,2,2,1
114,2,21,2,2,3976,4,2,3,1,3,35,2,1,3,2,2,1
115,2,18,2,0,6260,4,3,3,1,3,28,1,1,2,2,2,1
116,2,9,4,2,1919,4,4,3,1,3,35,1,1,3,2,2,1
117,4,24,2,1,2603,3,2,2,1,4,28,1,1,3,2,2,1
118,4,9,4,6,936,5,4,3,1,2,52,2,2,3,2,2,1
119,4,24,2,2,3062,5,4,3,1,3,32,1,1,3,2,2,1
120,2,36,2,3,4795,2,4,2,1,1,30,2,1,4,2,2,1
121,4,36,4,1,5842,5,2,3,1,2,35,2,2,3,1,2,1
122,2,6,2,3,2063,2,4,4,1,3,30,1,1,4,2,2,1
123,4,15,4,3,1459,3,4,2,1,2,43,2,1,2,2,2,1
124,4,15,2,3,1213,5,4,3,1,3,47,2,1,3,2,2,1
125,4,24,4,3,5103,2,3,4,1,3,47,3,3,3,2,2,1
126,4,15,2,4,874,2,4,2,1,1,24,2,1,3,2,2,1
127,4,6,2,2,2978,3,1,3,1,2,32,2,1,3,2,2,1
128,4,18,2,0,1820,3,2,4,1,2,30,2,1,4,2,2,1
129,4,24,4,3,2872,5,3,3,1,4,36,2,1,3,1,2,1
130,3,24,2,2,1925,3,2,3,1,2,26,2,1,3,2,2,1
131,4,18,2,2,2515,3,3,3,1,4,43,2,1,3,2,2,1
132,3,6,2,2,2116,3,2,3,1,2,41,2,1,3,2,2,1
133,4,18,2,3,1453,2,3,2,1,1,26,2,1,3,2,2,1
134,4,10,2,0,1364,3,2,2,1,4,64,2,1,3,2,2,1
135,4,6,2,2,1543,3,4,1,1,2,33,2,1,3,2,2,1
136,2,12,2,0,1318,5,4,3,1,4,54,2,1,3,2,2,1
137,1,24,1,0,2325,4,2,3,1,3,32,2,1,3,2,2,1
138,2,6,4,8,932,4,1,2,1,3,39,2,2,2,2,2,1
139,3,24,4,3,3148,3,3,3,1,2,31,2,2,3,2,2,1
140,4,36,2,3,3835,5,2,2,1,4,45,2,1,2,2,2,1
141,4,9,2,6,3832,5,1,3,1,4,64,2,1,2,2,2,1
142,2,24,2,3,5084,5,2,2,1,4,42,2,1,3,2,2,1
143,4,9,4,2,2406,1,2,3,1,3,31,2,1,4,2,2,1
144,4,36,2,3,2394,3,4,2,1,4,25,2,1,3,2,2,1
145,4,21,2,1,2476,5,4,3,1,4,46,2,1,4,2,2,1
146,1,24,2,1,2964,5,4,3,1,4,49,3,1,3,1,2,1
147,1,12,2,2,1262,5,2,1,1,4,49,2,1,2,2,2,1
148,4,12,2,9,1542,4,2,3,1,4,36,2,1,3,2,2,1
149,2,24,4,3,1743,5,4,3,1,2,48,2,2,2,2,2,1
150,3,12,1,3,409,3,3,2,1,3,42,1,2,3,2,2,1
151,4,12,2,3,2171,2,2,2,1,2,29,2,1,3,2,2,1
152,4,48,4,1,8858,4,2,3,1,1,35,3,2,3,2,2,1
153,2,24,2,0,3512,4,2,3,1,3,38,2,2,3,2,2,1
154,2,12,2,3,1158,3,3,1,1,1,26,2,1,3,2,2,1
155,4,24,4,3,2684,3,4,3,1,2,35,2,2,2,2,2,1
156,1,12,2,3,1498,3,4,2,1,1,23,2,1,3,2,2,1
157,4,30,4,3,5954,4,3,3,2,2,38,2,1,3,2,2,1
158,2,48,1,9,6416,5,4,2,1,3,59,1,1,3,2,2,0
159,2,12,4,2,3617,5,1,3,1,4,28,1,3,3,2,2,1
160,4,12,4,3,1291,3,4,2,1,2,35,2,2,3,2,2,1
161,3,24,4,9,1275,3,2,1,1,4,36,2,2,3,2,2,1
162,4,24,2,2,3972,4,2,2,1,4,25,1,1,3,2,2,1
163,4,15,4,2,3343,3,4,3,1,2,28,3,1,3,2,2,1
164,3,15,2,6,392,2,4,2,1,4,23,1,1,3,2,2,1
165,4,9,4,0,2134,3,4,3,1,4,48,2,3,3,2,2,1
166,4,30,4,3,5771,4,4,2,1,2,25,2,2,3,2,2,1
167,4,24,4,9,4526,3,3,3,1,2,74,2,1,4,2,2,1
168,4,15,4,2,2788,4,2,2,2,3,24,2,2,3,2,2,1
169,4,6,4,3,1382,3,1,2,1,1,28,2,2,3,2,2,1
170,3,36,2,3,5848,3,4,3,1,1,24,2,1,3,2,2,1
171,1,12,2,0,1228,3,4,2,1,2,24,2,1,2,2,2,0
172,3,12,2,3,1297,3,3,4,1,4,23,1,1,3,2,2,1
173,4,24,2,3,1552,4,3,3,1,1,32,2,1,3,1,2,1
174,4,12,2,3,1963,4,4,3,1,2,31,1,2,4,1,2,1
175,4,24,2,3,3235,5,3,1,1,2,36,2,1,4,2,2,1
176,4,24,4,9,4139,3,3,3,1,3,27,2,2,2,2,2,1
177,2,12,4,1,1804,2,3,3,1,4,44,2,1,3,2,2,1
178,4,18,2,9,1950,4,4,3,1,1,34,2,2,3,2,2,1
179,4,48,3,3,12749,4,4,3,1,1,37,2,1,4,2,2,1
180,4,9,2,4,1236,2,1,2,1,4,23,1,1,3,2,2,1
181,4,18,4,0,1055,2,4,2,1,1,30,2,2,3,2,2,1
182,1,30,0,9,8072,2,2,3,1,3,25,2,3,3,2,2,1
183,4,30,4,3,2831,3,4,2,1,2,33,2,1,3,2,2,1
184,4,9,2,9,1449,4,3,2,1,2,27,2,2,3,2,2,1
185,4,36,2,9,5742,4,2,3,1,2,31,2,2,3,2,2,1
186,4,12,2,0,2390,5,4,3,1,3,50,2,1,3,2,2,1
187,4,24,2,3,3430,5,3,3,1,2,31,2,1,3,1,2,1
188,2,36,2,6,2273,4,3,3,1,1,32,2,2,3,1,2,1
189,3,21,2,0,2923,3,1,2,1,1,28,2,1,4,2,2,1
190,4,24,2,3,1901,3,4,3,1,4,29,1,1,4,2,2,1
191,2,36,2,6,3711,3,2,4,1,2,27,2,1,3,2,2,1
192,2,48,2,0,8487,4,1,2,1,2,24,2,1,3,2,2,1
193,4,24,2,0,2255,2,4,3,1,1,54,2,1,3,2,2,1
194,4,12,2,3,1262,3,3,3,1,2,25,2,1,3,2,2,1
195,4,33,4,1,7253,4,3,3,1,2,35,2,2,4,2,2,1
196,4,6,4,0,6761,4,1,3,1,3,45,2,2,4,1,2,1
197,4,18,4,2,1817,3,4,2,1,2,28,2,2,3,2,2,1
198,4,12,2,3,2141,4,3,3,1,1,35,2,1,3,2,2,1
199,4,48,1,9,3609,3,1,2,1,1,27,2,1,3,2,2,1
200,4,30,2,3,2333,5,4,3,1,2,30,2,1,4,2,2,1
201,4,28,1,1,7824,2,3,3,3,4,40,1,2,3,1,2,1
202,3,18,1,3,1445,4,4,3,1,4,49,2,1,2,2,2,1
203,1,24,2,2,7721,2,1,2,1,2,30,2,1,3,2,1,1
204,1,21,2,0,3763,4,2,3,2,2,24,2,1,2,2,1,1
205,2,18,2,9,4439,5,1,3,2,1,33,2,1,4,2,2,1
206,1,12,2,3,1107,3,2,3,1,2,20,1,1,4,1,2,1
207,2,15,2,3,1444,2,4,3,1,1,23,2,1,3,2,2,1
208,2,48,1,0,12169,1,4,3,2,4,36,3,1,4,2,2,1
209,4,9,2,3,2753,5,3,3,2,4,35,2,1,3,2,2,1
210,3,4,2,0,1494,2,1,3,1,2,29,2,1,2,1,1,1
211,1,24,1,2,2828,3,4,3,1,4,22,2,1,3,2,2,1
212,1,24,1,2,2483,3,4,3,1,4,22,2,1,3,2,2,1
213,3,6,4,0,1299,3,1,3,1,1,74,2,3,1,1,1,1
214,2,9,2,0,1549,2,4,3,1,2,35,2,1,1,2,2,1
215,3,10,2,0,3949,2,1,3,3,1,37,2,1,2,1,2,1
216,4,10,2,1,2901,2,1,2,1,4,31,1,1,3,2,2,1
217,3,6,2,0,709,2,2,4,1,2,27,2,1,1,2,1,1
218,1,47,2,0,10722,2,1,2,1,1,35,2,1,2,2,2,1
219,4,10,2,0,1287,5,4,3,2,2,45,2,1,2,2,1,1
220,1,18,1,3,1940,2,3,3,2,4,36,3,1,4,2,2,1
221,3,30,4,3,3656,5,4,3,1,4,49,2,2,2,2,2,1
222,4,24,3,1,4679,4,3,3,1,3,35,2,2,2,2,2,1
223,4,27,3,1,8613,3,2,3,1,2,27,2,2,3,2,2,1
224,1,18,2,2,2659,3,4,3,1,2,28,2,1,3,2,2,1
225,4,24,4,3,1516,3,4,2,1,1,43,2,2,2,2,2,1
226,1,18,2,0,4380,3,3,3,1,4,35,2,1,2,1,2,1
227,4,14,3,0,802,3,4,3,1,2,27,2,2,2,2,2,1
228,4,21,2,9,1572,5,4,2,1,4,36,2,1,2,2,2,1
229,2,48,1,9,3566,4,4,3,1,2,30,2,1,3,2,2,1
230,4,24,2,3,1278,5,4,3,1,1,36,2,1,4,2,2,1
231,4,6,0,3,426,5,4,4,1,4,39,2,1,2,2,2,1
232,4,39,2,1,8588,5,4,3,1,2,45,2,1,4,2,2,1
233,1,30,2,1,3857,3,4,1,1,4,40,2,1,4,2,2,1
234,2,12,2,0,685,4,2,4,1,3,25,2,1,2,2,2,0
235,1,24,2,3,1603,5,4,2,1,4,55,2,1,3,2,2,1
236,4,21,2,2,2241,5,4,3,1,2,50,2,2,3,2,2,1
237,1,24,2,3,2384,5,4,3,1,4,64,1,1,2,2,2,1
238,4,4,2,2,601,2,1,2,1,3,23,1,1,2,1,2,1
239,4,39,2,1,2569,3,4,3,1,4,24,2,1,3,2,2,1
240,4,15,4,3,1316,3,2,4,1,2,47,2,2,2,2,2,1
241,4,60,2,0,10366,5,2,3,1,4,42,2,1,4,2,2,1
242,4,18,2,9,1568,3,3,2,1,4,24,1,1,2,2,2,1
243,4,18,4,3,629,5,4,3,1,3,32,2,2,4,2,2,1
244,4,6,1,3,1750,5,2,3,1,4,45,2,1,2,1,2,1
245,4,24,2,1,3488,4,3,2,1,4,23,2,1,3,2,2,1
246,4,18,4,3,1800,3,4,3,1,2,24,2,2,3,2,2,1
247,4,24,3,2,4151,3,2,3,1,3,35,2,2,3,2,2,1
248,2,15,2,5,2631,3,3,2,1,2,25,2,1,2,2,2,1
249,4,21,2,1,5248,3,1,3,1,3,26,2,1,3,2,2,1
250,2,18,3,0,2899,5,4,3,1,4,43,2,1,3,1,2,1
251,2,18,3,5,6204,3,2,3,1,4,44,2,1,2,1,2,1
252,4,12,2,3,804,5,4,3,1,4,38,2,1,3,2,2,1
253,4,36,2,3,3595,5,4,3,1,2,28,2,1,3,2,2,1
254,4,36,4,1,5711,5,4,3,1,2,38,2,2,4,2,2,1
255,3,15,2,9,2687,4,2,3,1,4,26,1,1,3,2,2,1
256,1,15,3,2,3643,5,1,2,1,4,27,2,2,2,2,2,1
257,4,10,4,2,2146,2,1,2,1,3,23,1,2,3,2,2,1
258,1,10,2,3,2315,5,3,3,1,4,52,2,1,2,2,2,1
259,4,5,2,9,3448,4,1,3,1,4,74,2,1,2,2,2,1
260,4,15,2,2,2708,2,2,3,1,3,27,2,2,2,2,2,1
261,4,11,4,0,1393,2,4,2,1,4,35,2,2,4,2,2,1
262,3,10,2,2,1275,2,4,2,1,2,23,2,1,3,2,2,1
263,4,9,2,2,1313,5,1,3,1,4,20,2,1,3,2,2,1
264,4,12,2,3,1493,2,4,2,1,3,34,2,1,3,1,2,1
265,4,22,2,3,2675,5,3,3,1,4,40,2,1,3,2,2,1
266,2,9,2,3,2118,3,2,3,1,2,37,2,1,2,1,2,1
267,4,36,2,0,909,5,4,3,1,4,36,2,1,3,2,2,1
268,4,12,4,2,1258,2,2,2,1,4,22,1,2,2,2,2,1
269,4,15,1,3,1569,5,4,3,1,4,34,2,1,2,1,2,1
270,4,6,2,1,1236,3,2,3,1,4,50,1,1,3,2,2,1
271,4,36,3,2,7678,4,2,2,1,4,40,2,2,3,2,2,1
272,4,6,2,5,660,4,2,4,1,4,23,1,1,2,2,2,1
273,4,24,2,2,2835,5,3,3,1,4,53,2,1,3,2,2,1
274,4,24,2,1,2670,5,4,3,1,4,35,2,1,4,2,2,1
275,4,12,1,8,3447,3,4,2,1,3,35,2,1,2,1,2,1
276,4,15,2,3,3568,5,4,2,1,2,54,1,1,4,2,2,1
277,2,21,4,9,3652,4,2,3,1,3,27,2,2,3,2,2,1
278,1,24,2,3,3660,3,2,2,1,4,28,2,1,3,2,2,1
279,3,9,2,3,1126,5,2,1,1,4,49,2,1,3,2,2,1
280,3,6,3,3,683,2,2,2,1,1,29,2,1,3,2,2,1
281,3,12,2,2,2251,3,1,2,1,2,46,2,1,2,2,2,1
282,4,12,2,1,4675,2,1,2,1,4,20,1,1,3,2,2,1
283,2,21,3,0,2353,3,1,1,1,4,47,2,2,3,2,2,1
284,1,21,2,3,3357,2,4,2,1,2,29,2,1,3,2,2,1
285,4,6,2,0,672,1,1,2,1,4,54,2,1,1,2,2,1
286,1,6,4,3,338,5,4,3,1,4,52,2,2,3,2,2,1
287,4,9,2,3,2697,3,1,3,1,2,32,2,1,3,1,2,1
288,4,9,2,0,2507,5,2,3,1,4,51,3,1,2,2,2,1
289,4,15,3,3,1478,3,4,4,1,3,33,2,2,3,2,2,1
290,4,12,4,6,3565,2,2,3,1,1,37,2,2,2,1,2,1
291,4,15,2,2,2221,3,2,2,1,4,20,1,1,3,2,2,1
292,4,6,4,3,1898,3,1,3,1,2,34,2,2,2,1,2,1
293,2,6,3,9,1449,5,1,1,1,2,31,2,2,3,1,2,1
294,4,15,3,2,960,4,3,2,1,2,30,2,2,3,2,2,1
295,4,36,2,1,8133,3,1,2,1,2,30,2,1,3,2,2,1
296,4,9,2,2,2301,2,2,2,1,4,22,1,1,3,2,2,1
297,4,6,3,9,1743,3,1,3,1,2,34,2,2,2,2,2,1
298,2,12,2,2,983,2,1,2,1,4,19,1,1,2,2,2,1
299,4,18,3,3,2320,1,2,4,1,3,34,2,2,3,2,2,1
300,1,12,1,8,339,5,4,4,1,1,45,2,1,2,2,2,1
301,3,24,2,3,5152,4,4,3,1,2,25,2,1,3,2,2,1
302,3,24,2,2,3749,2,2,2,1,4,26,2,1,3,2,2,1
303,4,9,4,3,3074,3,1,3,1,2,33,2,2,3,1,2,1
304,3,9,2,3,745,3,3,2,1,2,28,2,1,2,2,2,0
305,4,24,2,0,1469,5,4,4,1,4,41,1,1,2,2,2,1
306,1,6,2,2,1374,3,1,3,1,2,36,2,1,2,2,2,1
307,4,6,1,0,783,3,1,3,3,2,26,2,1,2,1,2,1
308,1,21,2,3,2606,2,4,2,1,4,28,1,1,4,2,2,1
309,4,54,0,1,9436,3,2,3,1,2,39,2,1,2,1,2,1
310,4,12,4,3,930,5,4,3,1,4,65,2,4,3,2,2,1
311,4,48,4,1,2751,5,4,3,1,3,38,2,2,3,1,2,1
312,4,6,4,0,250,3,2,2,1,2,41,2,2,2,2,2,1
313,2,24,2,0,1201,2,4,3,1,1,26,2,1,3,2,2,1
314,1,6,2,0,662,2,3,3,1,4,41,2,1,2,1,2,1
315,4,15,2,1,1300,5,4,3,1,4,45,3,1,3,1,2,1
316,4,24,1,9,1559,4,4,3,1,4,40,2,1,3,2,2,1
317,3,12,2,3,3016,3,3,4,1,1,24,2,1,3,2,2,1
318,4,15,4,3,1360,3,4,3,1,2,31,2,2,3,2,2,1
319,4,6,0,0,1204,3,4,3,1,1,35,1,1,3,2,1,1
320,4,10,2,0,1597,3,3,3,1,2,40,1,1,2,1,1,1
321,4,12,2,3,2073,3,4,2,2,2,28,2,1,3,2,2,1
322,4,11,2,9,2142,5,1,1,1,2,28,2,1,3,2,2,1
323,1,10,4,2,2132,2,2,2,2,3,27,1,2,3,2,1,1
324,4,10,2,0,1546,3,3,3,1,2,31,2,1,2,1,1,1
325,4,24,4,0,1287,5,4,2,1,4,37,2,2,3,2,2,1
326,4,10,2,0,1418,3,3,3,1,2,35,1,1,2,2,1,1
327,3,6,4,0,1343,5,1,3,1,4,46,2,2,3,1,1,1
328,4,18,2,0,2662,4,4,3,1,3,32,2,1,3,2,1,1
329,4,18,4,3,6070,5,3,3,1,4,33,2,2,3,2,2,1
330,4,24,4,6,1927,3,3,2,1,2,33,2,2,3,2,2,1
331,4,18,4,3,2404,3,2,2,1,2,26,2,2,3,2,2,1
332,4,6,4,3,1554,4,1,2,1,2,24,1,2,3,2,2,1
333,4,22,2,0,1283,4,4,2,1,4,25,1,1,3,2,2,1
334,4,24,3,0,717,5,4,4,1,4,54,2,2,3,2,2,1
335,1,24,2,2,1747,2,4,3,2,1,24,2,1,2,2,1,1
336,1,9,4,5,1288,5,3,3,3,4,48,2,2,3,1,1,1
337,1,10,4,0,1038,4,4,3,2,3,49,2,2,3,2,2,1
338,4,10,2,1,2848,3,1,3,2,2,32,2,1,3,1,2,1
339,4,12,2,1,1413,4,3,3,1,2,55,2,1,3,2,1,1
340,4,30,4,3,3077,5,3,3,1,2,40,2,2,3,1,2,1
341,1,24,1,1,3632,3,1,2,3,4,22,1,1,3,2,1,1
342,4,18,4,1,3229,1,2,3,1,4,38,2,1,4,2,2,1
343,4,9,2,0,3577,3,1,3,3,2,26,1,1,3,1,1,1
344,4,12,4,0,682,4,4,2,1,3,51,2,2,3,2,2,1
345,4,10,2,3,1924,3,1,3,1,4,38,2,1,3,2,1,1
346,4,10,2,6,727,5,4,3,1,4,46,3,1,3,2,2,1
347,3,10,4,0,781,5,4,3,1,4,63,3,2,3,2,2,1
348,1,12,4,0,2121,3,4,3,1,2,30,2,2,3,2,2,1
349,4,12,4,6,701,3,4,3,1,2,32,2,2,3,2,2,1
350,4,10,4,2,2069,3,2,4,1,1,26,2,2,3,2,1,1
351,4,24,2,0,1525,4,4,2,1,3,34,2,1,3,1,2,1
352,4,48,4,9,7629,5,4,1,1,2,46,2,2,4,1,2,1
353,1,12,4,0,3499,3,3,2,2,2,29,2,2,3,2,2,0
354,4,6,2,3,1346,5,2,3,1,4,42,3,1,3,1,2,1
355,4,36,4,1,10477,5,2,3,1,4,42,3,2,3,2,2,1
356,1,24,2,1,2924,3,3,3,3,4,63,2,1,3,1,2,1
357,4,10,4,0,1231,5,3,3,1,4,32,2,2,2,1,1,1
358,3,18,2,0,1961,5,3,2,1,2,23,2,1,4,2,2,1
359,4,15,4,0,5045,5,1,2,1,4,59,2,1,3,2,2,1
360,4,12,4,0,1255,5,4,3,1,4,61,2,2,2,2,2,1
361,1,12,2,2,1858,2,4,2,1,1,22,1,1,3,2,2,1
362,4,6,4,2,1221,3,1,4,1,2,27,2,2,3,2,2,1
363,4,9,2,2,1388,3,4,2,1,2,26,1,1,3,2,2,1
364,4,12,2,3,2279,3,4,3,1,4,37,3,1,3,2,2,1
365,4,12,0,2,2759,5,2,3,1,4,34,2,2,3,2,2,1
366,3,24,2,3,1258,3,3,2,1,3,57,2,1,2,2,2,1
367,2,12,0,8,1410,3,2,3,1,2,31,2,1,2,2,2,1
368,1,15,2,0,1403,3,2,2,1,4,28,1,1,3,2,2,1
369,1,24,2,2,3021,3,2,1,1,2,24,1,1,2,2,2,1
370,1,24,2,9,6568,3,2,4,1,2,21,2,1,2,2,2,1
371,4,24,4,3,2578,5,2,3,1,2,34,2,1,3,2,2,1
372,2,24,4,1,7758,5,2,2,1,4,29,1,1,3,2,2,1
373,1,6,2,4,343,2,4,2,1,1,27,2,1,3,2,2,1
374,4,21,3,2,1591,4,4,3,1,3,34,2,2,4,2,2,1
